Decoded CTC model's output,	LLM Predicted Label,	Original True Label,	Are they the same
sivn,	seven,	seven,	True
fi,	five,	five,	True
nine,	nine,	nine,	True
six,	six,	six,	True
two,	two,	two,	True
zro,	zero,	zero,	True
five,	five,	five,	True
fiv,	five,	five,	True
iv,	four,	seven,	False
e,	three,	zero,	False
si,	six,	seven,	False
fouren,	four,	four,	True
eightn,	eight,	eight,	True
hre,	three,	three,	True
on,	one,	one,	True
eight,	eight,	eight,	True
,	seven,	three,	False
r,	four,	zero,	False
fue,	four,	zero,	False
on,	one,	one,	True
ne,	nine,	one,	False
si,	six,	seven,	False
fine,	nine,	five,	False
teir,	three,	zero,	False
eoe,	two,	zero,	False
fone,	one,	one,	True
onein,	one,	one,	True
one,	one,	one,	True
thr,	three,	three,	True
zero,	zero,	zero,	True
ou,	two,	one,	False
ti,	two,	three,	False
siv,	seven,	seven,	True
si,	six,	seven,	False
nin,	nine,	nine,	True
to,	two,	two,	True
ih,	five,	eight,	False
sixf,	six,	six,	True
fiv,	five,	five,	True
i,	nine,	eight,	False
f,	five,	four,	False
six,	six,	six,	True
three,	three,	three,	True
tn,	ten,	three,	False
fur,	four,	four,	True
fiur,	four,	four,	True
zeri,	zero,	zero,	True
tw,	two,	two,	True
four,	four,	four,	True
erivne,	nine,	five,	False
eit,	eight,	eight,	True
five,	five,	five,	True
two,	two,	two,	True
thr,	three,	three,	True
three,	three,	three,	True
,	four,	eight,	False
nine,	nine,	nine,	True
sev,	seven,	seven,	True
sivn,	seven,	seven,	True
tgh,	three,	eight,	False
tr,	three,	zero,	False
fourn,	four,	four,	True
fou,	four,	four,	True
zr,	zero,	zero,	True
o,	zero,	zero,	True
two,	two,	two,	True
the,	four,	three,	False
six,	six,	six,	True
fiv,	five,	five,	True
,	seven,	seven,	True
fivn,	five,	five,	True
eight,	eight,	eight,	True
w,	two,	two,	True
thret,	three,	three,	True
thri,	three,	three,	True
six,	six,	six,	True
h,	four,	three,	False
t,	two,	three,	False
fur,	four,	four,	True
ix,	six,	six,	True
ziroi,	zero,	zero,	True
sei,	six,	zero,	False
en,	one,	seven,	False
fiv,	five,	five,	True
ei,	five,	zero,	False
four,	four,	four,	True
five,	five,	five,	True
,	one,	seven,	False
fu,	four,	four,	True
fourn,	four,	one,	False
en,	one,	two,	False
ig,	three,	eight,	False
four,	four,	four,	True
gh,	eight,	eight,	True
tvth,	five,	three,	False
tw,	two,	two,	True
ei,	five,	zero,	False
n,	nine,	one,	False
fur,	four,	four,	True
w,	two,	two,	True
six,	six,	six,	True
fir,	four,	four,	True
si,	six,	six,	True
twn,	two,	seven,	False
,	seven,	eight,	False
ig,	nine,	eight,	False
sinx,	six,	six,	True
nx,	six,	six,	True
on,	one,	one,	True
f,	five,	four,	False
six,	six,	six,	True
o,	four,	four,	True
tw,	two,	two,	True
f,	five,	four,	False
thri,	three,	three,	True
nf,	nine,	four,	False
r,	four,	zero,	False
nin,	nine,	nine,	True
th,	two,	three,	False
se,	seven,	seven,	True
nin,	nine,	nine,	True
on,	one,	one,	True
ti,	three,	three,	True
ight,	eight,	eight,	True
tiour,	four,	two,	False
eig,	eight,	eight,	True
th,	two,	three,	False
fi,	five,	four,	False
six,	six,	six,	True
ewo,	two,	zero,	False
two,	two,	two,	True
thr,	three,	three,	True
our,	four,	four,	True
fon,	four,	one,	False
eig,	eight,	eight,	True
six,	six,	six,	True
n,	nine,	nine,	True
zeon,	zero,	zero,	True
six,	six,	six,	True
ig,	eight,	eight,	True
f,	four,	five,	False
eigt,	eight,	eight,	True
sro,	three,	zero,	False
one,	one,	one,	True
six,	six,	six,	True
nine,	nine,	nine,	True
seven,	seven,	seven,	True
two,	two,	two,	True
,	two,	one,	False
sio,	six,	two,	False
sn,	seven,	seven,	True
four,	four,	four,	True
eig,	eight,	eight,	True
zero,	zero,	zero,	True
tsix,	six,	six,	True
foi,	four,	one,	False
tw,	two,	two,	True
sevn,	seven,	seven,	True
i,	nine,	six,	False
nin,	nine,	nine,	True
zro,	zero,	zero,	True
one,	one,	one,	True
nine,	nine,	nine,	True
fiv,	five,	five,	True
n,	nine,	nine,	True
two,	two,	two,	True
zo,	two,	zero,	False
si,	six,	six,	True
fve,	five,	five,	True
two,	two,	two,	True
tw,	two,	three,	False
trt,	three,	three,	True
twon,	two,	two,	True
fur,	four,	four,	True
tw,	two,	two,	True
feu,	four,	four,	True
fiv,	five,	five,	True
zer,	zero,	zero,	True
tw,	two,	two,	True
on,	one,	one,	True
ne,	nine,	nine,	True
svxn,	seven,	six,	False
er,	three,	zero,	False
eno,	one,	zero,	False
fon,	one,	four,	False
tw,	two,	three,	False
fu,	four,	four,	True
seo,	six,	zero,	False
tn,	ten,	nine,	False
e,	three,	one,	False
eigh,	eight,	eight,	True
siv,	five,	seven,	False
fev,	five,	seven,	False
two,	two,	two,	True
two,	two,	two,	True
sev,	seven,	seven,	True
stero,	zero,	zero,	True
tw,	two,	two,	True
four,	four,	four,	True
the,	seven,	three,	False
eig,	eight,	eight,	True
six,	six,	six,	True
,	seven,	one,	False
,	four,	three,	False
iv,	four,	five,	False
five,	five,	five,	True
sev,	seven,	seven,	True
t,	two,	three,	False
four,	four,	four,	True
thr,	three,	three,	True
o,	zero,	one,	False
foure,	four,	four,	True
eigh,	eight,	eight,	True
fiv,	five,	five,	True
six,	six,	six,	True
sivo,	five,	seven,	False
sevi,	seven,	seven,	True
sevn,	seven,	seven,	True
fur,	four,	four,	True
s,	five,	two,	False
nin,	nine,	nine,	True
f,	four,	four,	True
,	seven,	four,	False
six,	six,	six,	True
ero,	zero,	zero,	True
thr,	three,	three,	True
ninv,	nine,	nine,	True
three,	three,	three,	True
w,	two,	eight,	False
one,	one,	one,	True
eighn,	eight,	eight,	True
eg,	nine,	eight,	False
onone,	one,	one,	True
sw,	two,	seven,	False
twr,	two,	three,	False
zro,	zero,	zero,	True
siv,	five,	six,	False
fvn,	seven,	five,	False
eig,	eight,	eight,	True
ei,	five,	eight,	False
tfwo,	two,	two,	True
seve,	seven,	seven,	True
zer,	zero,	zero,	True
eiv,	five,	eight,	False
eig,	eight,	eight,	True
nin,	nine,	nine,	True
six,	six,	six,	True
sev,	seven,	seven,	True
six,	six,	six,	True
twe,	two,	two,	True
swr,	three,	six,	False
hre,	three,	three,	True
evewx,	five,	seven,	False
one,	one,	one,	True
tw,	two,	two,	True
one,	one,	one,	True
oe,	one,	one,	True
twfv,	five,	two,	False
tw,	two,	three,	False
two,	two,	two,	True
tw,	two,	two,	True
ni,	nine,	nine,	True
sevn,	seven,	seven,	True
fve,	five,	five,	True
two,	two,	two,	True
nine,	nine,	nine,	True
five,	five,	five,	True
nine,	nine,	nine,	True
siv,	five,	seven,	False
seven,	seven,	seven,	True
twhr,	two,	three,	False
fev,	five,	six,	False
nive,	five,	nine,	False
eo,	zero,	zero,	True
si,	six,	six,	True
sixv,	six,	six,	True
nin,	nine,	nine,	True
se,	seven,	seven,	True
six,	six,	six,	True
f,	four,	four,	True
wn,	one,	nine,	False
twn,	two,	two,	True
eig,	five,	eight,	False
six,	six,	six,	True
zeo,	zero,	zero,	True
zerx,	zero,	six,	False
fvour,	four,	four,	True
swx,	six,	six,	True
one,	one,	one,	True
five,	five,	five,	True
n,	nine,	one,	False
nin,	nine,	nine,	True
sir,	three,	zero,	False
twhr,	two,	three,	False
e,	three,	one,	False
two,	two,	two,	True
efive,	five,	five,	True
oe,	zero,	one,	False
on,	one,	one,	True
nive,	five,	nine,	False
fiv,	five,	five,	True
zero,	zero,	zero,	True
zer,	zero,	zero,	True
tw,	two,	two,	True
six,	six,	six,	True
iv,	four,	five,	False
four,	four,	four,	True
te,	three,	six,	False
two,	two,	two,	True
two,	two,	two,	True
ser,	three,	six,	False
ve,	five,	five,	True
w,	two,	two,	True
siv,	five,	two,	False
,	nine,	two,	False
h,	four,	eight,	False
thr,	three,	three,	True
oe,	one,	one,	True
fiven,	five,	five,	True
o,	zero,	one,	False
eigh,	eight,	eight,	True
o,	four,	one,	False
sev,	seven,	seven,	True
tr,	three,	three,	True
three,	three,	three,	True
hr,	four,	three,	False
fe,	five,	five,	True
five,	five,	five,	True
tsev,	seven,	seven,	True
,	five,	zero,	False
five,	five,	five,	True
w,	two,	two,	True
sev,	seven,	seven,	True
six,	six,	six,	True
twn,	two,	two,	True
fu,	four,	four,	True
fiv,	five,	five,	True
sev,	seven,	seven,	True
zeour,	four,	zero,	False
nt,	nine,	nine,	True
ze,	three,	zero,	False
twn,	two,	two,	True
tw,	two,	six,	False
ou,	four,	four,	True
tsevn,	seven,	seven,	True
te,	three,	three,	True
two,	two,	two,	True
four,	four,	four,	True
fev,	five,	six,	False
t,	two,	two,	True
zero,	zero,	zero,	True
eiv,	five,	six,	False
zeo,	zero,	zero,	True
sw,	two,	six,	False
ero,	zero,	zero,	True
o,	nine,	zero,	False
fsi,	five,	six,	False
two,	two,	two,	True
fu,	four,	four,	True
zro,	zero,	zero,	True
fourn,	four,	four,	True
zeo,	zero,	zero,	True
o,	zero,	two,	False
fur,	four,	four,	True
tw,	two,	three,	False
eo,	two,	zero,	False
fivent,	five,	seven,	False
re,	four,	eight,	False
five,	five,	five,	True
eiv,	five,	zero,	False
ur,	four,	one,	False
our,	four,	one,	False
on,	one,	one,	True
six,	six,	seven,	False
fur,	four,	four,	True
three,	three,	three,	True
fev,	five,	seven,	False
iv,	four,	nine,	False
un,	one,	one,	True
fur,	four,	four,	True
fi,	five,	four,	False
,	two,	zero,	False
fiv,	five,	five,	True
eighn,	eight,	eight,	True
ive,	five,	five,	True
oe,	two,	one,	False
teg,	three,	eight,	False
tore,	four,	three,	False
ni,	nine,	nine,	True
zero,	zero,	zero,	True
two,	two,	two,	True
tw,	two,	two,	True
five,	five,	five,	True
,	seven,	zero,	False
si,	six,	six,	True
zero,	zero,	zero,	True
eih,	three,	eight,	False
six,	six,	six,	True
four,	four,	four,	True
fiveo,	five,	five,	True
twi,	two,	three,	False
sie,	six,	three,	False
tw,	two,	two,	True
,	four,	three,	False
fiv,	five,	five,	True
iv,	four,	seven,	False
ni,	nine,	nine,	True
tev,	five,	seven,	False
six,	six,	six,	True
teo,	two,	zero,	False
seve,	seven,	seven,	True
two,	two,	two,	True
s,	five,	six,	False
zero,	zero,	zero,	True
tio,	two,	six,	False
zer,	zero,	zero,	True
nin,	nine,	nine,	True
five,	five,	five,	True
fi,	five,	five,	True
tw,	two,	two,	True
nine,	nine,	nine,	True
tw,	two,	two,	True
sveve,	five,	seven,	False
t,	two,	three,	False
eie,	nine,	zero,	False
tw,	two,	two,	True
siv,	five,	seven,	False
nin,	nine,	nine,	True
fo,	four,	four,	True
four,	four,	four,	True
nin,	nine,	nine,	True
sevn,	seven,	seven,	True
tw,	two,	two,	True
six,	six,	six,	True
five,	five,	six,	False
nfive,	five,	five,	True
fiv,	five,	five,	True
ht,	eight,	eight,	True
two,	two,	two,	True
ei,	five,	eight,	False
our,	four,	two,	False
ni,	nine,	nine,	True
eighn,	eight,	eight,	True
one,	one,	one,	True
ivn,	one,	seven,	False
ti,	three,	six,	False
ti,	two,	three,	False
sivn,	seven,	seven,	True
sevn,	seven,	seven,	True
nin,	nine,	nine,	True
for,	four,	four,	True
fein,	nine,	six,	False
zer,	zero,	zero,	True
one,	one,	one,	True
seivn,	seven,	seven,	True
siveiv,	five,	seven,	False
eigh,	eight,	eight,	True
i,	nine,	eight,	False
tw,	two,	two,	True
zer,	zero,	zero,	True
f,	four,	one,	False
two,	two,	two,	True
nin,	nine,	nine,	True
eighn,	eight,	eight,	True
sev,	seven,	seven,	True
eig,	eight,	eight,	True
nin,	nine,	nine,	True
eigh,	eight,	eight,	True
zero,	zero,	zero,	True
fourn,	four,	four,	True
six,	six,	six,	True
zero,	zero,	zero,	True
tw,	two,	two,	True
two,	two,	two,	True
fivn,	five,	five,	True
tw,	two,	two,	True
zro,	zero,	zero,	True
f,	four,	seven,	False
thr,	three,	three,	True
three,	three,	three,	True
four,	four,	four,	True
seive,	five,	seven,	False
one,	one,	one,	True
,	nine,	zero,	False
i,	nine,	eight,	False
eigt,	eight,	eight,	True
ero,	zero,	zero,	True
fnih,	nine,	three,	False
t,	two,	two,	True
fiv,	five,	five,	True
sih,	six,	six,	True
eig,	eight,	eight,	True
zer,	zero,	zero,	True
igh,	nine,	eight,	False
tw,	two,	two,	True
on,	one,	one,	True
sevn,	seven,	seven,	True
six,	six,	six,	True
tir,	three,	six,	False
two,	two,	two,	True
se,	seven,	seven,	True
fiv,	five,	five,	True
nin,	nine,	nine,	True
tw,	two,	two,	True
thret,	three,	three,	True
ehih,	nine,	eight,	False
eo,	zero,	zero,	True
ex,	six,	six,	True
two,	two,	two,	True
tw,	two,	two,	True
tw,	two,	two,	True
feve,	five,	seven,	False
ninur,	nine,	nine,	True
zro,	zero,	zero,	True
tro,	three,	zero,	False
,	three,	one,	False
fi,	five,	five,	True
,	nine,	four,	False
ight,	eight,	eight,	True
five,	five,	five,	True
ziro,	zero,	zero,	True
sev,	seven,	seven,	True
oun,	one,	one,	True
two,	two,	zero,	False
si,	six,	six,	True
ze,	three,	zero,	False
three,	three,	three,	True
fi,	five,	five,	True
thr,	three,	three,	True
sio,	six,	zero,	False
threr,	three,	three,	True
twr,	two,	zero,	False
five,	five,	five,	True
tr,	three,	three,	True
to,	two,	two,	True
t,	two,	three,	False
oun,	one,	one,	True
si,	six,	six,	True
n,	nine,	nine,	True
two,	two,	two,	True
sivn,	seven,	seven,	True
zrou,	two,	zero,	False
twx,	two,	six,	False
five,	five,	five,	True
,	seven,	zero,	False
onef,	one,	one,	True
fi,	five,	five,	True
zro,	zero,	zero,	True
hr,	four,	three,	False
fou,	four,	four,	True
i,	nine,	eight,	False
onen,	one,	one,	True
gh,	eight,	eight,	True
sixf,	six,	six,	True
sein,	six,	seven,	False
eig,	eight,	eight,	True
tw,	two,	two,	True
on,	one,	one,	True
ne,	nine,	one,	False
twe,	two,	two,	True
six,	six,	six,	True
six,	six,	six,	True
ro,	zero,	zero,	True
sfn,	seven,	seven,	True
thro,	three,	three,	True
fur,	four,	four,	True
tw,	two,	two,	True
six,	six,	six,	True
fo,	four,	four,	True
siv,	five,	seven,	False
fix,	six,	five,	False
on,	one,	one,	True
thr,	three,	three,	True
o,	four,	nine,	False
sev,	seven,	seven,	True
eigh,	eight,	eight,	True
six,	six,	six,	True
tw,	two,	two,	True
four,	four,	four,	True
sevn,	seven,	seven,	True
sevn,	seven,	seven,	True
,	five,	two,	False
n,	nine,	five,	False
twor,	two,	three,	False
fon,	four,	one,	False
nin,	nine,	nine,	True
fi,	five,	six,	False
one,	one,	one,	True
two,	two,	two,	True
f,	four,	four,	True
twn,	two,	two,	True
ne,	nine,	nine,	True
two,	two,	two,	True
,	five,	two,	False
eigh,	eight,	eight,	True
fone,	one,	one,	True
three,	three,	three,	True
trwg,	four,	two,	False
four,	four,	four,	True
twr,	two,	three,	False
twon,	two,	two,	True
eith,	eight,	eight,	True
fiv,	five,	five,	True
zer,	zero,	zero,	True
three,	three,	three,	True
nin,	nine,	nine,	True
six,	six,	six,	True
five,	five,	seven,	False
n,	nine,	nine,	True
f,	four,	four,	True
sex,	six,	seven,	False
one,	one,	one,	True
zro,	zero,	zero,	True
neo,	nine,	one,	False
even,	five,	seven,	False
n,	nine,	nine,	True
three,	three,	three,	True
eg,	two,	eight,	False
three,	three,	three,	True
zero,	zero,	zero,	True
twhr,	two,	three,	False
eigh,	eight,	eight,	True
six,	six,	six,	True
t,	two,	three,	False
three,	three,	three,	True
six,	six,	six,	True
tr,	three,	three,	True
f,	four,	three,	False
two,	two,	eight,	False
nin,	nine,	nine,	True
t,	two,	three,	False
n,	nine,	nine,	True
nin,	nine,	nine,	True
fiv,	five,	five,	True
fiv,	five,	five,	True
nin,	nine,	nine,	True
fur,	four,	four,	True
five,	five,	five,	True
eig,	eight,	eight,	True
nin,	nine,	nine,	True
ero,	zero,	zero,	True
four,	four,	four,	True
tihre,	three,	three,	True
nie,	nine,	nine,	True
tw,	two,	two,	True
sivxe,	six,	six,	True
eigt,	eight,	eight,	True
zere,	zero,	zero,	True
zr,	zero,	zero,	True
on,	one,	one,	True
onr,	one,	one,	True
n,	nine,	nine,	True
five,	five,	five,	True
ero,	zero,	zero,	True
fiv,	five,	five,	True
one,	one,	one,	True
tw,	two,	two,	True
on,	one,	one,	True
oe,	one,	one,	True
eght,	eight,	eight,	True
e,	three,	one,	False
fiv,	five,	four,	False
twro,	two,	zero,	False
fi,	five,	seven,	False
i,	nine,	nine,	True
sev,	seven,	seven,	True
ie,	three,	five,	False
sivn,	seven,	seven,	True
tr,	three,	three,	True
nine,	nine,	nine,	True
fiv,	five,	five,	True
nine,	nine,	nine,	True
tw,	two,	six,	False
f,	five,	four,	False
five,	five,	five,	True
e,	three,	five,	False
six,	six,	six,	True
twe,	two,	three,	False
i,	nine,	nine,	True
twe,	two,	two,	True
n,	nine,	seven,	False
zero,	zero,	zero,	True
fur,	four,	four,	True
shroe,	three,	zero,	False
noe,	nine,	four,	False
er,	four,	zero,	False
sivx,	six,	six,	True
one,	one,	one,	True
nin,	nine,	nine,	True
twro,	two,	two,	True
,	seven,	seven,	True
sev,	seven,	seven,	True
fn,	one,	four,	False
eiveh,	five,	eight,	False
fiv,	five,	five,	True
fu,	four,	four,	True
igh,	nine,	eight,	False
ew,	two,	zero,	False
nin,	nine,	nine,	True
fe,	five,	six,	False
eig,	eight,	eight,	True
six,	six,	six,	True
exo,	six,	zero,	False
zro,	zero,	zero,	True
four,	four,	four,	True
on,	one,	one,	True
fiv,	five,	five,	True
one,	one,	one,	True
one,	one,	one,	True
three,	three,	three,	True
eig,	eight,	eight,	True
nin,	nine,	nine,	True
iv,	four,	one,	False
nin,	nine,	nine,	True
twn,	two,	two,	True
nin,	nine,	nine,	True
sx,	six,	six,	True
founr,	four,	four,	True
three,	three,	three,	True
nine,	nine,	nine,	True
eigh,	eight,	eight,	True
fn,	one,	four,	False
ine,	nine,	nine,	True
eig,	eight,	eight,	True
w,	two,	two,	True
twoi,	two,	two,	True
twe,	two,	two,	True
five,	five,	five,	True
fiv,	five,	five,	True
niv,	nine,	nine,	True
nine,	nine,	nine,	True
fsivn,	five,	seven,	False
seve,	seven,	seven,	True
oinve,	five,	one,	False
twoe,	two,	two,	True
two,	two,	two,	True
three,	three,	three,	True
six,	six,	six,	True
sv,	seven,	seven,	True
,	one,	zero,	False
six,	six,	six,	True
five,	five,	five,	True
zer,	zero,	zero,	True
fiv,	five,	five,	True
fi,	five,	four,	False
sern,	three,	six,	False
ev,	five,	seven,	False
tw,	two,	eight,	False
o,	nine,	one,	False
tw,	two,	two,	True
five,	five,	five,	True
zeo,	zero,	zero,	True
fou,	four,	four,	True
sevne,	seven,	seven,	True
fo,	four,	four,	True
fog,	four,	four,	True
en,	one,	nine,	False
n,	nine,	nine,	True
sev,	seven,	seven,	True
f,	four,	four,	True
e,	three,	nine,	False
v,	five,	seven,	False
twhre,	three,	three,	True
eig,	eight,	eight,	True
sevn,	seven,	seven,	True
nin,	nine,	nine,	True
exe,	six,	six,	True
tw,	two,	six,	False
n,	nine,	nine,	True
our,	four,	four,	True
fun,	one,	four,	False
n,	nine,	nine,	True
two,	two,	two,	True
n,	nine,	nine,	True
zero,	zero,	zero,	True
tw,	two,	two,	True
o,	four,	zero,	False
nine,	nine,	nine,	True
one,	one,	one,	True
fiv,	five,	five,	True
gtw,	two,	eight,	False
nin,	nine,	nine,	True
zo,	zero,	zero,	True
tw,	two,	two,	True
r,	four,	zero,	False
oe,	zero,	three,	False
nin,	nine,	zero,	False
i,	nine,	nine,	True
eiein,	nine,	seven,	False
one,	one,	one,	True
n,	nine,	nine,	True
two,	two,	two,	True
th,	three,	three,	True
nin,	nine,	nine,	True
sev,	seven,	seven,	True
nei,	nine,	nine,	True
sevn,	seven,	seven,	True
on,	one,	one,	True
nin,	nine,	nine,	True
tiro,	three,	zero,	False
he,	three,	three,	True
zoe,	two,	zero,	False
zero,	zero,	zero,	True
four,	four,	four,	True
seix,	six,	eight,	False
onre,	one,	one,	True
fine,	nine,	five,	False
sivix,	six,	seven,	False
f,	four,	four,	True
on,	one,	four,	False
on,	one,	one,	True
f,	four,	four,	True
fon,	four,	four,	True
zoe,	two,	zero,	False
nin,	nine,	nine,	True
six,	six,	six,	True
our,	four,	four,	True
n,	nine,	two,	False
fuone,	four,	four,	True
nie,	nine,	nine,	True
eig,	eight,	eight,	True
fiv,	five,	five,	True
zerue,	zero,	zero,	True
siv,	five,	seven,	False
si,	four,	seven,	False
sev,	seven,	seven,	True
nin,	nine,	nine,	True
sevinetn,	seventy,	seven,	False
fo,	four,	four,	True
,	four,	zero,	False
seve,	seven,	seven,	True
io,	four,	zero,	False
seisiv,	six,	six,	True
fo,	four,	four,	True
he,	three,	three,	True
thr,	three,	two,	False
fin,	five,	one,	False
nin,	nine,	nine,	True
one,	one,	one,	True
zro,	zero,	zero,	True
niv,	five,	five,	True
four,	four,	four,	True
sivx,	six,	six,	True
fiv,	five,	five,	True
th,	three,	three,	True
fu,	four,	four,	True
in,	five,	one,	False
i,	nine,	eight,	False
eigh,	eight,	eight,	True
tw,	two,	two,	True
fivourn,	five,	four,	False
six,	six,	two,	False
three,	three,	three,	True
one,	one,	one,	True
six,	six,	six,	True
f,	four,	four,	True
hre,	three,	three,	True
igh,	five,	eight,	False
ztwo,	two,	zero,	False
three,	three,	three,	True
to,	two,	two,	True
zr,	zero,	zero,	True
six,	six,	six,	True
wo,	two,	four,	False
two,	two,	two,	True
one,	one,	one,	True
on,	one,	one,	True
six,	six,	six,	True
,	four,	nine,	False
eigh,	eight,	eight,	True
finin,	five,	five,	True
en,	one,	one,	True
fiv,	five,	five,	True
,	five,	zero,	False
fine,	nine,	five,	False
two,	two,	two,	True
iv,	four,	five,	False
,	nine,	nine,	True
three,	three,	three,	True
eih,	five,	eight,	False
onre,	one,	one,	True
siv,	five,	seven,	False
nin,	nine,	nine,	True
ti,	six,	two,	False
fiv,	five,	five,	True
svtin,	seven,	seven,	True
,	eight,	zero,	False
fur,	four,	four,	True
tw,	two,	two,	True
sixe,	six,	six,	True
seve,	seven,	seven,	True
fiv,	five,	five,	True
eight,	eight,	eight,	True
si,	six,	zero,	False
two,	two,	seven,	False
four,	four,	four,	True
,	seven,	zero,	False
to,	two,	two,	True
two,	two,	two,	True
sixo,	six,	zero,	False
fiv,	five,	five,	True
sevei,	seven,	seven,	True
six,	six,	six,	True
niv,	nine,	nine,	True
eigh,	eight,	eight,	True
sin,	seven,	seven,	True
six,	six,	six,	True
ei,	nine,	eight,	False
six,	six,	six,	True
one,	one,	one,	True
,	five,	six,	False
fiv,	five,	five,	True
io,	two,	zero,	False
n,	nine,	seven,	False
n,	nine,	four,	False
eig,	eight,	eight,	True
