Decoded CTC model's output,	LLM Predicted Label,	Original True Label,	Are they the same
sev,	seven,	seven,	True
th,	three,	eight,	False
to,	two,	zero,	False
furt,	four,	four,	True
f,	four,	four,	True
r,	four,	zero,	False
six,	six,	six,	True
en,	one,	one,	True
five,	five,	five,	True
sivx,	six,	six,	True
five,	five,	five,	True
,	four,	seven,	False
fiv,	five,	five,	True
eight,	eight,	eight,	True
eio,	three,	two,	False
thret,	three,	thre,	False
twhre,	three,	thre,	False
eix,	six,	six,	True
h,	four,	thre,	False
toh,	two,	thre,	False
fue,	four,	four,	True
six,	six,	six,	True
eot,	eight,	zero,	False
r,	four,	zero,	False
fefn,	five,	seven,	False
fivex,	five,	five,	True
t,	two,	zero,	False
four,	four,	four,	True
five,	five,	five,	True
,	seven,	seven,	True
fu,	four,	four,	True
ourn,	four,	one,	False
en,	one,	two,	False
egh,	eight,	eight,	True
fur,	four,	four,	True
gh,	eight,	eight,	True
twthe,	two,	thre,	False
two,	two,	two,	True
x,	six,	zero,	False
one,	One,	one,	False
fur,	four,	four,	True
fone,	one,	one,	True
fivehe,	five,	five,	True
fne,	nine,	one,	False
six,	six,	six,	True
twn,	two,	seven,	False
,	seven,	eight,	False
igh,	nine,	eight,	False
sinx,	six,	six,	True
evx,	five,	six,	False
one,	one,	one,	True
f,	five,	four,	False
six,	six,	six,	True
,	seven,	four,	False
two,	two,	two,	True
fv,	five,	four,	False
zthreio,	three,	thre,	False
if,	five,	four,	False
,	two,	zero,	False
nin,	nine,	nine,	True
twhe,	two,	thre,	False
sene,	nine,	seven,	False
nin,	nine,	nine,	True
o,	zero,	one,	False
tih,	three,	thre,	False
ight,	eight,	eight,	True
thgour,	four,	two,	False
eig,	eight,	eight,	True
the,	three,	thre,	False
fw,	five,	four,	False
tix,	six,	six,	True
wo,	two,	zero,	False
two,	two,	two,	True
thre,	three,	thre,	False
twur,	two,	four,	False
n,	nine,	one,	False
eig,	eight,	eight,	True
six,	six,	six,	True
ne,	nine,	nine,	True
,	seven,	zero,	False
six,	six,	six,	True
th,	two,	eight,	False
fv,	five,	five,	True
eig,	eight,	eight,	True
sro,	three,	zero,	False
onve,	one,	one,	True
six,	six,	six,	True
nine,	nine,	nine,	True
seven,	seven,	seven,	True
tw,	two,	two,	True
,	seven,	one,	False
sio,	six,	two,	False
sevn,	seven,	seven,	True
four,	four,	four,	True
eigh,	eight,	eight,	True
ero,	zero,	zero,	True
tsix,	six,	six,	True
five,	five,	one,	False
tw,	two,	two,	True
sevn,	seven,	seven,	True
i,	nine,	six,	False
ninv,	nine,	nine,	True
ro,	four,	zero,	False
one,	one,	one,	True
nine,	nine,	nine,	True
fiv,	five,	five,	True
n,	nine,	nine,	True
tw,	two,	two,	True
o,	four,	zero,	False
si,	six,	six,	True
fve,	five,	five,	True
two,	two,	two,	True
tw,	two,	thre,	False
tr,	three,	thre,	False
twon,	two,	two,	True
fur,	four,	four,	True
tw,	two,	two,	True
f,	five,	four,	False
fiv,	five,	five,	True
r,	four,	zero,	False
tw,	two,	two,	True
n,	nine,	one,	False
fnine,	nine,	nine,	True
svn,	seven,	six,	False
er,	four,	zero,	False
,	one,	zero,	False
fn,	one,	four,	False
tw,	two,	thre,	False
fur,	four,	four,	True
seo,	seven,	zero,	False
t,	two,	nine,	False
,	seven,	one,	False
eigh,	eight,	eight,	True
sive,	five,	seven,	False
o,	four,	zero,	False
seo,	six,	zero,	False
f,	five,	one,	False
tw,	Two,	two,	False
fiv,	five,	five,	True
nin,	nine,	nine,	True
tw,	two,	two,	True
fivnfn,	five,	seven,	False
o,	zero,	one,	False
h,	four,	thre,	False
fur,	four,	four,	True
sen,	seven,	seven,	True
fur,	four,	four,	True
ero,	zero,	zero,	True
ine,	nine,	nine,	True
,	seven,	zero,	False
,	seven,	zero,	False
sig,	six,	six,	True
two,	two,	two,	True
iv,	four,	five,	False
fiv,	five,	five,	True
twe,	two,	zero,	False
ig,	eight,	eight,	True
tohr,	four,	thre,	False
eig,	eight,	eight,	True
five,	five,	five,	True
eitwt,	eight,	eight,	True
g,	Five,	eight,	False
fevg,	five,	eight,	False
sieiv,	five,	seven,	False
fivf,	five,	five,	True
fiv,	five,	five,	True
sev,	seven,	seven,	True
on,	one,	one,	True
thre,	three,	thre,	False
n,	nine,	nine,	True
w,	two,	eight,	False
one,	one,	one,	True
eigh,	eight,	eight,	True
eg,	zero,	eight,	False
ivne,	five,	one,	False
siwi,	seven,	seven,	True
wr,	three,	thre,	False
ro,	four,	zero,	False
siv,	five,	six,	False
fvt,	five,	five,	True
eig,	eight,	eight,	True
i,	nine,	eight,	False
tfwo,	two,	two,	True
seve,	seven,	seven,	True
,	four,	zero,	False
fiv,	five,	eight,	False
eig,	eight,	eight,	True
nin,	nine,	nine,	True
six,	six,	six,	True
sev,	seven,	seven,	True
six,	six,	six,	True
tw,	Two,	two,	False
swr,	three,	six,	False
hre,	three,	thre,	False
evin,	seven,	seven,	True
one,	one,	one,	True
tw,	two,	two,	True
one,	one,	one,	True
o,	four,	one,	False
twfiv,	five,	two,	False
tr,	three,	thre,	False
,	six,	zero,	False
six,	six,	six,	True
tw,	two,	two,	True
ninen,	nine,	nine,	True
onenin,	nine,	one,	False
fi,	five,	four,	False
five,	five,	five,	True
,	three,	one,	False
fr,	four,	four,	True
fur,	four,	four,	True
eig,	eight,	eight,	True
four,	four,	four,	True
fiv,	five,	five,	True
fiv,	five,	five,	True
twr,	two,	thre,	False
seven,	seven,	seven,	True
to,	two,	thre,	False
n,	nine,	nine,	True
ert,	three,	zero,	False
o,	zero,	one,	False
ei,	nine,	six,	False
f,	four,	four,	True
thre,	three,	thre,	False
eig,	eight,	eight,	True
fr,	four,	four,	True
,	two,	zero,	False
iv,	four,	nine,	False
tv,	five,	seven,	False
on,	one,	one,	True
thr,	three,	thre,	False
nin,	nine,	nine,	True
seve,	seven,	seven,	True
fiv,	five,	four,	False
ig,	nine,	eight,	False
onin,	one,	nine,	False
zeo,	zero,	zero,	True
fiv,	five,	five,	True
sixg,	six,	six,	True
ei,	five,	eight,	False
ni,	nine,	nine,	True
six,	six,	six,	True
sivie,	five,	seven,	False
,	two,	thre,	False
sisn,	six,	seven,	False
on,	one,	one,	True
fove,	five,	one,	False
r,	four,	zero,	False
five,	five,	five,	True
zone,	one,	one,	True
on,	one,	one,	True
nine,	nine,	nine,	True
four,	four,	four,	True
nin,	nine,	nine,	True
si,	six,	six,	True
one,	one,	one,	True
the,	three,	thre,	False
in,	Five,	eight,	False
nine,	nine,	nine,	True
r,	four,	zero,	False
i,	nine,	nine,	True
zsti,	six,	six,	True
fon,	one,	four,	False
ew,	two,	eight,	False
fiv,	five,	five,	True
steoe,	nine,	zero,	False
sev,	seven,	zero,	False
fiv,	five,	five,	True
e,	three,	zero,	False
oe,	nine,	zero,	False
eig,	eight,	eight,	True
eig,	eight,	eight,	True
oe,	nine,	one,	False
eni,	nine,	eight,	False
ti,	three,	two,	False
fun,	one,	four,	False
nin,	nine,	nine,	True
n,	nine,	nine,	True
ninex,	nine,	nine,	True
one,	one,	one,	True
ei,	five,	six,	False
si,	six,	seven,	False
nfiv,	five,	five,	True
sev,	seven,	seven,	True
tohre,	three,	thre,	False
eig,	eight,	eight,	True
,	four,	five,	False
e,	three,	thre,	False
eig,	eight,	eight,	True
fiv,	five,	five,	True
svi,	five,	seven,	False
eiht,	eight,	eight,	True
,	seven,	thre,	False
sein,	six,	seven,	False
x,	six,	six,	True
sev,	seven,	seven,	True
sifix,	six,	seven,	False
one,	one,	one,	True
one,	one,	one,	True
te,	three,	thre,	False
fon,	four,	four,	True
stx,	six,	six,	True
six,	six,	six,	True
sin,	seven,	six,	False
tw,	two,	two,	True
nin,	nine,	nine,	True
eih,	eight,	eight,	True
one,	one,	one,	True
one,	one,	one,	True
f,	five,	six,	False
fiv,	five,	five,	True
nin,	nine,	nine,	True
nin,	nine,	nine,	True
nin,	nine,	nine,	True
nin,	nine,	nine,	True
thre,	three,	thre,	False
eie,	nine,	eight,	False
nin,	nine,	nine,	True
thr,	Three,	thre,	False
x,	six,	zero,	False
four,	four,	four,	True
t,	two,	thre,	False
oine,	nine,	one,	False
eih,	five,	eight,	False
four,	four,	four,	True
swo,	two,	zero,	False
tw,	two,	thre,	False
six,	six,	eight,	False
r,	four,	zero,	False
sive,	Five,	seven,	False
sevev,	seven,	seven,	True
sevn,	seven,	seven,	True
nine,	nine,	nine,	True
,	four,	zero,	False
ne,	nine,	one,	False
e,	three,	thre,	False
ero,	zero,	zero,	True
et,	eight,	two,	False
eigt,	eight,	eight,	True
nfiv,	five,	five,	True
ifivn,	five,	five,	True
nie,	nine,	nine,	True
nine,	nine,	nine,	True
eigte,	eight,	eight,	True
thre,	three,	thre,	False
fiv,	five,	five,	True
o,	zero,	one,	False
sx,	six,	six,	True
th,	three,	eight,	False
two,	two,	two,	True
t,	two,	thre,	False
sivn,	seven,	seven,	True
t,	two,	nine,	False
tw,	two,	two,	True
xt,	six,	four,	False
sev,	seven,	seven,	True
s,	Five,	zero,	False
x,	six,	six,	True
tre,	three,	thre,	False
in,	one,	seven,	False
sev,	seven,	seven,	True
nine,	nine,	nine,	True
two,	two,	two,	True
sivne,	five,	seven,	False
tr,	three,	thre,	False
uen,	one,	zero,	False
two,	two,	two,	True
siv,	Five,	seven,	False
nin,	nine,	nine,	True
fi,	five,	four,	False
fur,	four,	four,	True
n,	nine,	nine,	True
seven,	seven,	seven,	True
w,	two,	two,	True
six,	six,	six,	True
sive,	five,	six,	False
fiv,	five,	five,	True
iv,	four,	five,	False
ehe,	three,	eight,	False
tw,	two,	two,	True
ei,	five,	eight,	False
tone,	one,	two,	False
ne,	nine,	nine,	True
eign,	nine,	eight,	False
ne,	nine,	one,	False
sn,	seven,	seven,	True
six,	six,	six,	True
tsixe,	six,	thre,	False
sivn,	seven,	seven,	True
sen,	seven,	seven,	True
nin,	nine,	nine,	True
f,	five,	four,	False
feinxv,	five,	six,	False
fonen,	nine,	one,	False
fe,	five,	four,	False
eig,	eight,	eight,	True
tw,	Two,	two,	False
fiv,	five,	five,	True
eih,	nine,	eight,	False
sin,	seven,	seven,	True
tw,	two,	two,	True
nin,	nine,	nine,	True
iht,	eight,	eight,	True
si,	six,	six,	True
tw,	two,	two,	True
e,	three,	zero,	False
ove,	five,	one,	False
tw,	two,	two,	True
eiht,	eight,	eight,	True
ive,	five,	five,	True
fn,	nine,	four,	False
fiu,	five,	four,	False
en,	two,	one,	False
on,	one,	one,	True
f,	five,	four,	False
five,	Five,	five,	False
,	seven,	nine,	False
ive,	five,	five,	True
nine,	nine,	nine,	True
thre,	three,	thre,	False
tw,	two,	two,	True
io,	nine,	zero,	False
setw,	two,	two,	True
fiv,	five,	five,	True
e,	three,	zero,	False
eig,	eight,	eight,	True
ro,	four,	zero,	False
nie,	nine,	thre,	False
,	three,	two,	False
fiv,	five,	five,	True
sih,	six,	six,	True
eg,	two,	eight,	False
er,	three,	zero,	False
eigh,	eight,	eight,	True
tw,	two,	two,	True
n,	nine,	one,	False
sevn,	seven,	seven,	True
six,	six,	six,	True
six,	six,	six,	True
to,	two,	two,	True
se,	three,	seven,	False
fiv,	five,	five,	True
nin,	nine,	nine,	True
tw,	two,	two,	True
thret,	three,	thre,	False
eh,	five,	eight,	False
e,	three,	zero,	False
x,	six,	six,	True
two,	two,	two,	True
tw,	two,	two,	True
two,	two,	two,	True
seve,	seven,	seven,	True
n,	nine,	nine,	True
roe,	four,	zero,	False
to,	two,	zero,	False
,	seven,	one,	False
fi,	five,	five,	True
,	nine,	four,	False
eigt,	eight,	eight,	True
fiv,	five,	five,	True
io,	two,	zero,	False
sev,	seven,	seven,	True
on,	one,	one,	True
stwo,	two,	zero,	False
si,	six,	six,	True
e,	three,	zero,	False
hre,	three,	thre,	False
fiv,	five,	five,	True
the,	three,	thre,	False
sio,	six,	zero,	False
threh,	three,	thre,	False
tw,	two,	zero,	False
five,	five,	five,	True
tre,	three,	thre,	False
to,	two,	two,	True
,	seven,	thre,	False
on,	one,	one,	True
six,	six,	six,	True
n,	nine,	nine,	True
two,	two,	two,	True
siv,	five,	seven,	False
erou,	four,	zero,	False
six,	six,	six,	True
fiv,	five,	five,	True
tw,	two,	zero,	False
nf,	nine,	one,	False
fi,	five,	five,	True
ro,	two,	zero,	False
erxe,	three,	thre,	False
fu,	four,	four,	True
zihs,	six,	eight,	False
on,	one,	one,	True
egh,	eight,	eight,	True
six,	six,	six,	True
sevnx,	seven,	seven,	True
eig,	eight,	eight,	True
tw,	two,	two,	True
on,	one,	one,	True
ne,	nine,	one,	False
tw,	two,	two,	True
six,	six,	six,	True
six,	six,	six,	True
,	two,	zero,	False
sen,	three,	seven,	False
thr,	three,	thre,	False
fur,	four,	four,	True
tw,	two,	two,	True
six,	six,	six,	True
fi,	five,	four,	False
sv,	five,	seven,	False
fit,	five,	five,	True
on,	one,	one,	True
thre,	three,	thre,	False
,	seven,	nine,	False
sev,	seven,	seven,	True
eigh,	eight,	eight,	True
six,	six,	six,	True
tw,	two,	two,	True
four,	four,	four,	True
sevn,	seven,	seven,	True
sevn,	seven,	seven,	True
v,	five,	two,	False
nv,	five,	five,	True
twor,	two,	thre,	False
n,	nine,	one,	False
ninv,	nine,	nine,	True
six,	six,	six,	True
one,	one,	one,	True
two,	two,	two,	True
f,	four,	four,	True
twn,	two,	two,	True
ne,	nine,	nine,	True
tw,	two,	two,	True
w,	two,	two,	True
eig,	eight,	eight,	True
one,	one,	one,	True
thre,	three,	thre,	False
trwg,	three,	two,	False
four,	four,	four,	True
twre,	two,	thre,	False
twn,	two,	two,	True
eiht,	eight,	eight,	True
iv,	four,	five,	False
er,	four,	zero,	False
thre,	three,	thre,	False
nin,	nine,	nine,	True
six,	six,	six,	True
sive,	five,	seven,	False
ne,	nine,	nine,	True
,	five,	four,	False
sex,	six,	seven,	False
one,	one,	one,	True
ro,	four,	zero,	False
no,	nine,	one,	False
seven,	seven,	seven,	True
n,	nine,	nine,	True
thre,	three,	thre,	False
eg,	two,	eight,	False
thre,	three,	thre,	False
r,	four,	zero,	False
thre,	three,	thre,	False
eigh,	eight,	eight,	True
six,	six,	six,	True
tr,	three,	thre,	False
thre,	three,	thre,	False
six,	six,	six,	True
thre,	three,	thre,	False
f,	four,	thre,	False
tw,	two,	eight,	False
nin,	nine,	nine,	True
t,	three,	thre,	False
n,	nine,	nine,	True
nin,	nine,	nine,	True
fiv,	five,	five,	True
fiv,	five,	five,	True
nin,	nine,	nine,	True
fur,	four,	four,	True
fiv,	five,	five,	True
eigh,	eight,	eight,	True
nin,	nine,	nine,	True
ro,	zero,	zero,	True
four,	four,	four,	True
tihre,	three,	thre,	False
nin,	nine,	nine,	True
tw,	two,	two,	True
sive,	five,	six,	False
eight,	eight,	eight,	True
er,	four,	zero,	False
r,	four,	zero,	False
on,	one,	one,	True
onr,	one,	one,	True
n,	nine,	nine,	True
fiv,	five,	five,	True
ro,	zero,	zero,	True
fiv,	five,	five,	True
on,	one,	one,	True
tw,	two,	two,	True
on,	one,	one,	True
oe,	one,	one,	True
eigh,	eight,	eight,	True
e,	three,	one,	False
fiv,	Five,	four,	False
swr,	three,	zero,	False
iv,	four,	seven,	False
,	nine,	nine,	True
sev,	seven,	seven,	True
iv,	four,	five,	False
seven,	seven,	seven,	True
thret,	three,	thre,	False
nin,	nine,	nine,	True
fiv,	five,	five,	True
nin,	nine,	nine,	True
tw,	two,	six,	False
f,	five,	four,	False
five,	five,	five,	True
ve,	five,	five,	True
six,	six,	six,	True
siv,	Five,	seven,	False
i,	One,	nine,	False
tw,	two,	two,	True
,	seven,	seven,	True
ero,	zero,	zero,	True
four,	four,	four,	True
shiro,	four,	zero,	False
vr,	four,	four,	True
er,	Four,	zero,	False
sivx,	six,	six,	True
on,	One,	one,	False
nin,	nine,	nine,	True
tw,	two,	two,	True
t,	two,	seven,	False
sv,	seven,	seven,	True
fornrn,	four,	four,	True
eivht,	eight,	eight,	True
fiv,	five,	five,	True
fvur,	four,	four,	True
igh,	eight,	eight,	True
tw,	two,	zero,	False
nin,	nine,	nine,	True
ti,	three,	six,	False
eight,	eight,	eight,	True
six,	six,	six,	True
tstvo,	two,	zero,	False
ro,	four,	zero,	False
fiour,	four,	four,	True
on,	one,	one,	True
fiv,	five,	five,	True
onve,	one,	one,	True
one,	one,	one,	True
six,	six,	six,	True
sro,	zero,	zero,	True
ix,	six,	six,	True
ev,	five,	seven,	False
fwiout,	four,	four,	True
seven,	seven,	seven,	True
ro,	zero,	zero,	True
tw,	two,	thre,	False
two,	two,	two,	True
on,	one,	one,	True
ti,	three,	six,	False
tw,	two,	two,	True
two,	two,	zero,	False
o,	zero,	zero,	True
six,	six,	six,	True
tio,	two,	six,	False
eight,	eight,	eight,	True
tix,	six,	six,	True
o,	four,	one,	False
eig,	eight,	eight,	True
twg,	two,	thre,	False
erhg,	three,	eight,	False
sev,	seven,	seven,	True
eigt,	eight,	eight,	True
one,	one,	one,	True
nv,	five,	nine,	False
siro,	zero,	zero,	True
fivu,	five,	seven,	False
tn,	ten,	nine,	False
fiv,	five,	five,	True
tn,	ten,	seven,	False
o,	zero,	zero,	True
fiv,	five,	five,	True
f,	four,	four,	True
sion,	seven,	six,	False
e,	three,	seven,	False
tw,	two,	eight,	False
o,	four,	one,	False
tw,	two,	two,	True
five,	five,	five,	True
er,	three,	zero,	False
fouru,	four,	four,	True
sev,	seven,	seven,	True
fo,	four,	four,	True
fog,	four,	four,	True
n,	nine,	nine,	True
n,	nine,	nine,	True
sev,	seven,	seven,	True
f,	five,	four,	False
te,	three,	nine,	False
,	six,	seven,	False
twhre,	three,	thre,	False
ig,	eight,	eight,	True
sevn,	seven,	seven,	True
ni,	nine,	nine,	True
er,	three,	six,	False
tw,	two,	six,	False
ne,	nine,	nine,	True
four,	four,	four,	True
furn,	four,	four,	True
n,	nine,	nine,	True
two,	two,	two,	True
n,	nine,	nine,	True
ro,	four,	zero,	False
tw,	two,	two,	True
,	one,	zero,	False
nin,	nine,	nine,	True
oe,	two,	one,	False
fiv,	five,	five,	True
gtw,	two,	eight,	False
nin,	nine,	nine,	True
o,	zero,	zero,	True
tw,	two,	two,	True
e,	three,	zero,	False
,	five,	thre,	False
ni,	nine,	zero,	False
i,	nine,	nine,	True
n,	nine,	seven,	False
on,	one,	one,	True
n,	nine,	nine,	True
tw,	two,	two,	True
thre,	three,	thre,	False
n,	nine,	nine,	True
sev,	seven,	seven,	True
,	five,	nine,	False
sen,	three,	seven,	False
on,	one,	one,	True
nin,	nine,	nine,	True
io,	two,	zero,	False
h,	four,	thre,	False
o,	zero,	zero,	True
o,	four,	zero,	False
four,	four,	four,	True
sig,	six,	eight,	False
on,	one,	one,	True
fi,	five,	five,	True
sevin,	seven,	seven,	True
f,	five,	four,	False
on,	one,	four,	False
on,	one,	one,	True
f,	five,	four,	False
fon,	four,	four,	True
,	seven,	zero,	False
,	four,	nine,	False
six,	six,	six,	True
four,	four,	four,	True
n,	nine,	two,	False
fon,	one,	four,	False
nine,	nine,	nine,	True
eig,	eight,	eight,	True
fiv,	five,	five,	True
r,	four,	zero,	False
siv,	five,	seven,	False
sei,	six,	seven,	False
sev,	seven,	seven,	True
nin,	nine,	nine,	True
sete,	seven,	seven,	True
f,	Four,	four,	False
,	Two,	zero,	False
ev,	five,	seven,	False
wo,	two,	zero,	False
seiev,	seven,	six,	False
f,	four,	four,	True
uhre,	four,	thre,	False
two,	two,	two,	True
fi,	five,	one,	False
nin,	nine,	nine,	True
o,	zero,	one,	False
f,	four,	eight,	False
onen,	one,	one,	True
eig,	eight,	eight,	True
se,	seven,	seven,	True
ihx,	six,	six,	True
wo,	two,	four,	False
se,	seven,	seven,	True
o,	zero,	zero,	True
two,	two,	two,	True
nif,	five,	nine,	False
our,	four,	four,	True
ninen,	nine,	nine,	True
fiv,	five,	five,	True
fn,	one,	four,	False
o,	four,	one,	False
eg,	nine,	eight,	False
t,	two,	thre,	False
fi,	five,	five,	True
fve,	five,	five,	True
nine,	nine,	nine,	True
,	five,	five,	True
two,	two,	two,	True
f,	four,	four,	True
sev,	seven,	seven,	True
i,	nine,	six,	False
twhr,	two,	thre,	False
tw,	two,	two,	True
nin,	nine,	nine,	True
tw,	two,	two,	True
five,	five,	five,	True
f,	four,	four,	True
two,	two,	two,	True
,	seven,	nine,	False
si,	six,	six,	True
r,	four,	zero,	False
in,	one,	nine,	False
o,	four,	zero,	False
tgh,	three,	eight,	False
eigh,	eight,	eight,	True
twn,	Two,	two,	False
fu,	four,	four,	True
nine,	nine,	nine,	True
six,	six,	six,	True
,	four,	four,	True
four,	four,	four,	True
fur,	four,	four,	True
two,	two,	two,	True
eig,	eight,	eight,	True
n,	nine,	nine,	True
fig,	five,	eight,	False
te,	three,	thre,	False
siox,	six,	six,	True
rohe,	three,	zero,	False
four,	four,	four,	True
tw,	two,	two,	True
foe,	four,	five,	False
fi,	five,	five,	True
ine,	nine,	one,	False
tw,	two,	two,	True
eig,	eight,	eight,	True
rnin,	nine,	nine,	True
fin,	five,	five,	True
i,	one,	six,	False
ineg,	nine,	nine,	True
eigh,	eight,	eight,	True
ine,	nine,	seven,	False
sevx,	seven,	six,	False
eig,	eight,	eight,	True
six,	six,	six,	True
one,	one,	one,	True
t,	two,	six,	False
fiv,	five,	five,	True
ewo,	two,	zero,	False
,	two,	seven,	False
en,	one,	four,	False
eig,	eight,	eight,	True
twg,	two,	thre,	False
nin,	nine,	nine,	True
w,	two,	four,	False
two,	two,	two,	True
