Decoded CTC model's output,	LLM Predicted Label,	Original True Label,	Are they the same
igh,	nine,	eight,	False
fiv,	five,	nine,	False
siv,	five,	seven,	False
fuour,	four,	four,	True
sti,	six,	seven,	False
fou,	four,	four,	True
fiv,	five,	five,	True
si,	six,	six,	True
sie,	six,	six,	True
fine,	nine,	seven,	False
zro,	zero,	zero,	True
onu,	one,	one,	True
nin,	nine,	nine,	True
threnin,	three,	thre,	False
five,	five,	five,	True
fine,	nine,	five,	False
fou,	four,	four,	True
twhr,	two,	thre,	False
th,	three,	thre,	False
five,	five,	five,	True
five,	five,	five,	True
tw,	two,	two,	True
tw,	two,	two,	True
ine,	nine,	nine,	True
eig,	eight,	eight,	True
four,	four,	four,	True
on,	one,	one,	True
thre,	three,	thre,	False
eigt,	eight,	eight,	True
five,	five,	five,	True
fine,	nine,	five,	False
etw,	two,	eight,	False
five,	five,	five,	True
nin,	nine,	nine,	True
fiv,	five,	five,	True
eight,	eight,	eight,	True
twh,	two,	two,	True
siv,	five,	seven,	False
sinxt,	six,	six,	True
n,	nine,	nine,	True
zer,	zero,	zero,	True
fuour,	four,	four,	True
tur,	two,	two,	True
one,	one,	one,	True
four,	four,	four,	True
four,	Four,	four,	False
ero,	zero,	zero,	True
fur,	four,	four,	True
sev,	seven,	seven,	True
ne,	nine,	one,	False
tw,	two,	two,	True
zr,	zero,	zero,	True
five,	five,	five,	True
fone,	one,	one,	True
four,	four,	four,	True
six,	six,	six,	True
five,	five,	five,	True
eight,	eight,	eight,	True
fu,	four,	four,	True
fin,	five,	seven,	False
ne,	nine,	one,	False
thre,	three,	thre,	False
one,	one,	one,	True
nfonun,	nine,	four,	False
fr,	four,	five,	False
six,	six,	seven,	False
o,	zero,	zero,	True
on,	one,	one,	True
he,	three,	thre,	False
six,	six,	six,	True
fi,	five,	five,	True
,	seven,	seven,	True
fivn,	five,	five,	True
eight,	eight,	eight,	True
wo,	two,	two,	True
thret,	three,	thre,	False
thri,	three,	thre,	False
six,	six,	six,	True
h,	four,	thre,	False
t,	two,	thre,	False
fur,	four,	four,	True
ix,	six,	six,	True
zerot,	zero,	zero,	True
e,	five,	zero,	False
en,	five,	seven,	False
fiv,	five,	five,	True
ei,	five,	zero,	False
four,	four,	four,	True
five,	five,	five,	True
,	two,	seven,	False
fu,	four,	four,	True
ourn,	four,	one,	False
n,	nine,	two,	False
ig,	nine,	eight,	False
four,	four,	four,	True
gh,	eight,	eight,	True
tvthe,	five,	thre,	False
twh,	two,	two,	True
en,	one,	zero,	False
n,	nine,	one,	False
fur,	four,	four,	True
w,	five,	two,	False
six,	six,	six,	True
fr,	four,	four,	True
si,	six,	six,	True
tw,	two,	seven,	False
,	seven,	eight,	False
ig,	nine,	eight,	False
sin,	seven,	six,	False
n,	nine,	six,	False
on,	one,	one,	True
f,	five,	four,	False
six,	six,	six,	True
o,	zero,	four,	False
tw,	two,	two,	True
f,	four,	four,	True
threi,	three,	thre,	False
nf,	nine,	four,	False
r,	four,	zero,	False
nin,	nine,	nine,	True
th,	two,	thre,	False
se,	seven,	seven,	True
nin,	nine,	nine,	True
on,	one,	one,	True
i,	one,	thre,	False
ight,	eight,	eight,	True
tigour,	two,	two,	True
eig,	eight,	eight,	True
th,	two,	thre,	False
fi,	five,	four,	False
six,	Six,	six,	False
fiv,	five,	five,	True
o,	four,	one,	False
nin,	nine,	nine,	True
si,	six,	six,	True
thre,	three,	thre,	False
fiven,	five,	seven,	False
nine,	nine,	nine,	True
one,	one,	one,	True
fivn,	five,	five,	True
hre,	three,	thre,	False
thr,	three,	thre,	False
ito,	two,	two,	True
four,	four,	four,	True
,	four,	one,	False
f,	five,	four,	False
e,	three,	five,	False
sin,	seven,	six,	False
wo,	two,	two,	True
two,	two,	two,	True
t,	two,	thre,	False
six,	six,	six,	True
foe,	four,	one,	False
nt,	nine,	nine,	True
eighn,	eight,	eight,	True
i,	nine,	eight,	False
n,	nine,	nine,	True
fi,	five,	four,	False
zro,	zero,	zero,	True
four,	four,	four,	True
in,	One,	eight,	False
ne,	nine,	seven,	False
eix,	six,	six,	True
nin,	nine,	nine,	True
fiv,	five,	five,	True
n,	nine,	nine,	True
two,	two,	two,	True
zo,	two,	zero,	False
si,	six,	six,	True
fve,	five,	five,	True
two,	two,	two,	True
tw,	two,	thre,	False
trt,	three,	thre,	False
twon,	two,	two,	True
fur,	four,	four,	True
tw,	two,	two,	True
fe,	five,	four,	False
fiv,	five,	five,	True
er,	three,	zero,	False
tw,	two,	two,	True
on,	one,	one,	True
nine,	Nine,	nine,	False
svn,	seven,	six,	False
er,	four,	zero,	False
eno,	one,	zero,	False
fon,	one,	four,	False
tw,	two,	thre,	False
four,	four,	four,	True
seio,	six,	zero,	False
tn,	ten,	nine,	False
ne,	nine,	one,	False
eigh,	eight,	eight,	True
siv,	Five,	seven,	False
o,	nine,	zero,	False
seo,	three,	zero,	False
two,	two,	two,	True
niv,	nine,	five,	False
nin,	nine,	nine,	True
two,	two,	two,	True
fivnene,	five,	seven,	False
on,	one,	one,	True
hr,	four,	thre,	False
fur,	four,	four,	True
sen,	seven,	seven,	True
four,	four,	four,	True
zero,	zero,	zero,	True
nin,	nine,	nine,	True
er,	Three,	zero,	False
ro,	four,	zero,	False
eig,	eight,	six,	False
two,	two,	two,	True
iv,	four,	five,	False
fiv,	five,	five,	True
we,	three,	zero,	False
eig,	eight,	eight,	True
tohr,	four,	thre,	False
eig,	eight,	eight,	True
five,	five,	five,	True
eigt,	eight,	eight,	True
g,	nine,	eight,	False
eig,	eight,	eight,	True
sieiv,	Five,	seven,	False
fiv,	five,	five,	True
fiv,	five,	five,	True
sev,	seven,	seven,	True
on,	one,	one,	True
thre,	three,	thre,	False
n,	nine,	nine,	True
w,	two,	eight,	False
one,	one,	one,	True
eighn,	eight,	eight,	True
eg,	seven,	eight,	False
one,	one,	one,	True
swi,	three,	seven,	False
wre,	three,	thre,	False
zero,	zero,	zero,	True
siv,	five,	six,	False
fivn,	five,	five,	True
eig,	eight,	eight,	True
i,	one,	eight,	False
tfwo,	two,	two,	True
seve,	seven,	seven,	True
zer,	zero,	zero,	True
fiv,	five,	eight,	False
eig,	eight,	eight,	True
nin,	nine,	nine,	True
six,	six,	six,	True
sev,	seven,	seven,	True
six,	six,	six,	True
tw,	two,	two,	True
swr,	three,	six,	False
hre,	three,	thre,	False
evein,	seven,	seven,	True
one,	one,	one,	True
two,	two,	two,	True
one,	one,	one,	True
one,	one,	one,	True
twfv,	two,	two,	True
tw,	two,	thre,	False
two,	two,	two,	True
tw,	two,	two,	True
ni,	nine,	nine,	True
siven,	seven,	seven,	True
fve,	five,	five,	True
two,	two,	two,	True
nin,	nine,	nine,	True
fiv,	five,	five,	True
nin,	nine,	nine,	True
fiv,	five,	seven,	False
eiven,	seven,	seven,	True
twhr,	two,	thre,	False
fev,	five,	six,	False
nine,	nine,	nine,	True
eo,	zero,	zero,	True
si,	six,	six,	True
sioxv,	six,	six,	True
nin,	nine,	nine,	True
sei,	six,	seven,	False
tix,	six,	six,	True
f,	four,	four,	True
wnin,	nine,	nine,	True
wn,	one,	two,	False
eig,	eight,	eight,	True
six,	six,	six,	True
zeo,	zero,	zero,	True
zerx,	zero,	six,	False
fvour,	four,	four,	True
swx,	six,	six,	True
one,	one,	one,	True
five,	five,	five,	True
n,	nine,	one,	False
nin,	nine,	nine,	True
sior,	four,	zero,	False
twhr,	two,	thre,	False
e,	three,	one,	False
two,	two,	two,	True
efie,	five,	five,	True
one,	One,	one,	False
on,	one,	one,	True
nive,	five,	nine,	False
fiv,	five,	five,	True
zero,	zero,	zero,	True
zer,	zero,	zero,	True
two,	two,	two,	True
six,	six,	six,	True
niv,	nine,	five,	False
four,	four,	four,	True
ti,	two,	six,	False
two,	two,	two,	True
two,	two,	two,	True
ser,	Three,	six,	False
v,	five,	five,	True
w,	two,	two,	True
sin,	three,	two,	False
,	seven,	two,	False
h,	four,	eight,	False
thr,	three,	thre,	False
o,	four,	one,	False
fiven,	five,	five,	True
on,	one,	one,	True
eigh,	eight,	eight,	True
on,	one,	one,	True
sev,	seven,	seven,	True
tero,	zero,	zero,	True
sevo,	seven,	zero,	False
fiv,	five,	five,	True
e,	three,	zero,	False
zero,	zero,	zero,	True
eig,	eight,	eight,	True
eig,	eight,	eight,	True
oe,	zero,	one,	False
,	seven,	eight,	False
i,	nine,	two,	False
fuon,	four,	four,	True
ni,	nine,	nine,	True
n,	nine,	nine,	True
nine,	nine,	nine,	True
one,	one,	one,	True
ei,	five,	six,	False
si,	six,	seven,	False
niv,	nine,	five,	False
sev,	seven,	seven,	True
thre,	three,	thre,	False
eig,	eight,	eight,	True
,	seven,	five,	False
,	four,	thre,	False
eig,	eight,	eight,	True
five,	five,	five,	True
seve,	seven,	seven,	True
eight,	eight,	eight,	True
,	three,	thre,	False
seion,	seven,	seven,	True
x,	six,	six,	True
sev,	seven,	seven,	True
sivinx,	six,	seven,	False
ou,	two,	one,	False
one,	one,	one,	True
t,	two,	thre,	False
fo,	four,	four,	True
stw,	two,	six,	False
six,	six,	six,	True
sn,	seven,	six,	False
tw,	two,	two,	True
nin,	nine,	nine,	True
eigh,	eight,	eight,	True
one,	one,	one,	True
one,	one,	one,	True
f,	four,	six,	False
fiv,	five,	five,	True
nin,	nine,	nine,	True
nin,	nine,	nine,	True
ni,	nine,	nine,	True
nin,	nine,	nine,	True
hr,	four,	thre,	False
ie,	nine,	eight,	False
nin,	nine,	nine,	True
th,	three,	thre,	False
x,	six,	zero,	False
ur,	four,	four,	True
t,	two,	thre,	False
nine,	nine,	one,	False
eigh,	eight,	eight,	True
four,	four,	four,	True
two,	two,	zero,	False
tw,	two,	thre,	False
ix,	six,	eight,	False
zer,	zero,	zero,	True
fivrur,	five,	four,	False
svev,	five,	seven,	False
sevn,	seven,	seven,	True
ni,	nine,	nine,	True
e,	Three,	zero,	False
n,	nine,	one,	False
e,	three,	thre,	False
zro,	zero,	zero,	True
,	four,	two,	False
eigt,	eight,	eight,	True
nv,	nine,	five,	False
tfiv,	five,	five,	True
ni,	nine,	nine,	True
nin,	nine,	nine,	True
eigh,	eight,	eight,	True
thre,	three,	thre,	False
fiv,	five,	five,	True
o,	nine,	one,	False
six,	six,	six,	True
ihg,	eight,	eight,	True
two,	two,	two,	True
t,	two,	thre,	False
svn,	seven,	seven,	True
n,	nine,	nine,	True
tw,	two,	two,	True
h,	four,	four,	True
sev,	seven,	seven,	True
zseo,	zero,	zero,	True
zix,	six,	six,	True
thre,	three,	thre,	False
vin,	seven,	seven,	True
sev,	seven,	seven,	True
wo,	two,	two,	True
tw,	two,	two,	True
svev,	five,	seven,	False
t,	two,	thre,	False
en,	one,	zero,	False
tw,	two,	two,	True
si,	four,	seven,	False
nin,	nine,	nine,	True
fio,	five,	four,	False
fur,	four,	four,	True
nin,	nine,	nine,	True
sevn,	seven,	seven,	True
t,	two,	two,	True
six,	six,	six,	True
siv,	five,	six,	False
fiv,	five,	five,	True
fiv,	five,	five,	True
ht,	eight,	eight,	True
tw,	two,	two,	True
ei,	five,	eight,	False
oun,	one,	two,	False
ni,	nine,	nine,	True
eghn,	eight,	eight,	True
one,	one,	one,	True
nvn,	seven,	seven,	True
si,	six,	six,	True
tix,	six,	thre,	False
sivn,	seven,	seven,	True
svn,	seven,	seven,	True
nin,	nine,	nine,	True
f,	five,	four,	False
einx,	nine,	six,	False
zr,	zero,	zero,	True
one,	one,	one,	True
seivn,	seven,	seven,	True
sivev,	five,	seven,	False
eigh,	eight,	eight,	True
i,	one,	eight,	False
tw,	two,	two,	True
zer,	zero,	zero,	True
fie,	five,	one,	False
tw,	two,	two,	True
nin,	nine,	nine,	True
eghn,	eight,	eight,	True
sev,	seven,	seven,	True
eig,	eight,	eight,	True
nin,	nine,	nine,	True
eigh,	eight,	eight,	True
zro,	zero,	zero,	True
fuen,	four,	four,	True
six,	six,	six,	True
nzero,	nine,	zero,	False
t,	two,	two,	True
two,	two,	two,	True
fi,	five,	five,	True
tw,	two,	two,	True
zro,	zero,	zero,	True
f,	five,	seven,	False
thr,	three,	thre,	False
thre,	three,	thre,	False
ur,	four,	four,	True
sive,	five,	seven,	False
one,	one,	one,	True
e,	three,	zero,	False
ix,	six,	eight,	False
eigt,	eight,	eight,	True
zero,	zero,	zero,	True
nihe,	nine,	thre,	False
ti,	two,	two,	True
fiv,	five,	five,	True
si,	six,	six,	True
eig,	eight,	eight,	True
zer,	zero,	zero,	True
igh,	nine,	eight,	False
tw,	two,	two,	True
on,	one,	one,	True
seien,	seven,	seven,	True
six,	six,	six,	True
sex,	six,	six,	True
two,	two,	two,	True
se,	seven,	seven,	True
fivev,	five,	five,	True
nie,	nine,	nine,	True
tw,	two,	two,	True
thret,	three,	thre,	False
ehigh,	eight,	eight,	True
eo,	zero,	zero,	True
ex,	six,	six,	True
two,	two,	two,	True
tw,	two,	two,	True
tw,	two,	two,	True
seve,	seven,	seven,	True
ninur,	nine,	nine,	True
zroe,	zero,	zero,	True
ztro,	zero,	zero,	True
e,	three,	one,	False
fie,	five,	five,	True
,	two,	four,	False
eiht,	eight,	eight,	True
five,	five,	five,	True
zero,	zero,	zero,	True
sev,	seven,	seven,	True
oun,	one,	one,	True
stwo,	two,	zero,	False
si,	six,	six,	True
ze,	two,	zero,	False
hre,	three,	thre,	False
fiv,	five,	five,	True
thr,	three,	thre,	False
seo,	zero,	zero,	True
thre,	three,	thre,	False
tr,	three,	zero,	False
five,	five,	five,	True
tre,	three,	thre,	False
to,	two,	two,	True
,	four,	thre,	False
oun,	one,	one,	True
six,	six,	six,	True
n,	nine,	nine,	True
two,	two,	two,	True
sivn,	seven,	seven,	True
zerou,	zero,	zero,	True
stx,	six,	six,	True
five,	five,	five,	True
,	seven,	zero,	False
onef,	one,	one,	True
fi,	five,	five,	True
zron,	three,	zero,	False
er,	three,	thre,	False
foun,	four,	four,	True
ix,	six,	eight,	False
onen,	one,	one,	True
gh,	eight,	eight,	True
sixf,	six,	six,	True
seinx,	six,	seven,	False
eig,	eight,	eight,	True
to,	two,	two,	True
one,	one,	one,	True
ne,	nine,	one,	False
twe,	two,	two,	True
six,	six,	six,	True
six,	six,	six,	True
ro,	zero,	zero,	True
sn,	seven,	seven,	True
thro,	three,	thre,	False
fur,	four,	four,	True
twn,	two,	two,	True
sixe,	six,	six,	True
f,	four,	four,	True
sv,	seven,	seven,	True
fix,	six,	five,	False
on,	one,	one,	True
thre,	three,	thre,	False
non,	nine,	nine,	True
sevn,	seven,	seven,	True
eigh,	eight,	eight,	True
six,	six,	six,	True
tw,	two,	two,	True
fur,	four,	four,	True
sevn,	seven,	seven,	True
sevn,	seven,	seven,	True
v,	five,	two,	False
n,	nine,	five,	False
twor,	two,	thre,	False
fon,	one,	one,	True
nin,	nine,	nine,	True
six,	six,	six,	True
one,	one,	one,	True
two,	two,	two,	True
f,	four,	four,	True
twn,	two,	two,	True
ne,	nine,	nine,	True
two,	two,	two,	True
w,	two,	two,	True
eight,	eight,	eight,	True
fone,	one,	one,	True
thre,	three,	thre,	False
trwig,	three,	two,	False
four,	four,	four,	True
twr,	two,	thre,	False
twon,	two,	two,	True
eih,	three,	eight,	False
fiv,	five,	five,	True
zer,	zero,	zero,	True
thr,	three,	thre,	False
nin,	nine,	nine,	True
six,	six,	six,	True
five,	Five,	seven,	False
n,	nine,	nine,	True
f,	four,	four,	True
sex,	six,	seven,	False
one,	one,	one,	True
fiv,	five,	five,	True
nero,	zero,	one,	False
seve,	seven,	seven,	True
n,	nine,	nine,	True
thr,	three,	thre,	False
eg,	three,	eight,	False
thre,	three,	thre,	False
zero,	zero,	zero,	True
twhr,	two,	thre,	False
eigh,	eight,	eight,	True
six,	six,	six,	True
t,	two,	thre,	False
thre,	three,	thre,	False
six,	six,	six,	True
thr,	three,	thre,	False
f,	four,	thre,	False
two,	two,	eight,	False
nin,	nine,	nine,	True
t,	two,	thre,	False
n,	nine,	nine,	True
nin,	nine,	nine,	True
fiv,	five,	five,	True
fiv,	five,	five,	True
nin,	nine,	nine,	True
fur,	four,	four,	True
five,	five,	five,	True
eigh,	eight,	eight,	True
nin,	nine,	nine,	True
ero,	zero,	zero,	True
four,	four,	four,	True
thre,	three,	thre,	False
nine,	nine,	nine,	True
tw,	two,	two,	True
sivxe,	six,	six,	True
eigt,	eight,	eight,	True
zero,	zero,	zero,	True
zr,	zero,	zero,	True
on,	one,	one,	True
onr,	one,	one,	True
nin,	nine,	nine,	True
fiv,	five,	five,	True
zro,	zero,	zero,	True
fiv,	five,	five,	True
one,	one,	one,	True
tw,	two,	two,	True
on,	one,	one,	True
oe,	zero,	one,	False
eight,	eight,	eight,	True
e,	three,	one,	False
fiv,	five,	four,	False
swro,	three,	zero,	False
si,	six,	seven,	False
,	Two,	nine,	False
sev,	seven,	seven,	True
i,	nine,	five,	False
sivn,	seven,	seven,	True
tr,	three,	thre,	False
nine,	nine,	nine,	True
fv,	five,	five,	True
nine,	nine,	nine,	True
tw,	two,	six,	False
f,	five,	four,	False
five,	five,	five,	True
,	one,	five,	False
s,	Five,	six,	False
xt,	six,	thre,	False
fiv,	five,	five,	True
eigh,	eight,	eight,	True
thr,	three,	thre,	False
zero,	zero,	zero,	True
on,	one,	one,	True
n,	nine,	one,	False
twn,	two,	thre,	False
igt,	eight,	eight,	True
nin,	nine,	nine,	True
nin,	nine,	nine,	True
zerot,	zero,	zero,	True
nin,	nine,	nine,	True
niv,	five,	nine,	False
thret,	three,	thre,	False
igf,	five,	eight,	False
sir,	Three,	six,	False
nin,	nine,	nine,	True
nin,	nine,	nine,	True
ofive,	five,	five,	True
nin,	nine,	nine,	True
sev,	seven,	seven,	True
six,	six,	six,	True
f,	five,	four,	False
thg,	three,	eight,	False
w,	two,	two,	True
fhre,	three,	thre,	False
e,	three,	thre,	False
ftive,	five,	five,	True
u,	four,	four,	True
on,	one,	one,	True
hren,	three,	thre,	False
six,	six,	six,	True
zroe,	zero,	zero,	True
ix,	six,	six,	True
ev,	five,	seven,	False
fiourt,	four,	four,	True
seven,	seven,	seven,	True
zero,	zero,	zero,	True
tw,	two,	thre,	False
tw,	two,	two,	True
on,	one,	one,	True
e,	three,	six,	False
tw,	two,	two,	True
two,	two,	zero,	False
zero,	zero,	zero,	True
six,	six,	six,	True
tir,	three,	six,	False
eight,	eight,	eight,	True
stix,	six,	six,	True
on,	one,	one,	True
eig,	eight,	eight,	True
twig,	two,	thre,	False
eghti,	eight,	eight,	True
sev,	seven,	seven,	True
eigh,	eight,	eight,	True
one,	one,	one,	True
ninv,	nine,	nine,	True
zero,	zero,	zero,	True
fiv,	five,	seven,	False
n,	nine,	nine,	True
fiv,	five,	five,	True
te,	three,	seven,	False
zo,	two,	zero,	False
fo,	four,	four,	True
nin,	nine,	nine,	True
si,	six,	six,	True
oe,	nine,	one,	False
si,	six,	six,	True
t,	two,	thre,	False
ni,	nine,	nine,	True
tw,	two,	two,	True
oin,	nine,	nine,	True
two,	two,	two,	True
sev,	seven,	seven,	True
one,	one,	one,	True
zroe,	zero,	zero,	True
ein,	one,	thre,	False
th,	three,	thre,	False
six,	six,	six,	True
nin,	nine,	nine,	True
tohre,	three,	thre,	False
si,	six,	six,	True
one,	one,	one,	True
,	seven,	thre,	False
thre,	three,	thre,	False
fev,	five,	six,	False
two,	two,	two,	True
ero,	zero,	zero,	True
nin,	nine,	nine,	True
five,	five,	five,	True
egt,	eight,	eight,	True
on,	one,	one,	True
thret,	three,	thre,	False
four,	four,	four,	True
five,	five,	five,	True
,	two,	two,	True
fone,	one,	one,	True
tv,	five,	thre,	False
o,	Four,	zero,	False
nin,	nine,	nine,	True
sevn,	seven,	seven,	True
io,	two,	zero,	False
,	four,	nine,	False
in,	one,	nine,	False
si,	six,	seven,	False
one,	one,	one,	True
seve,	seven,	seven,	True
one,	one,	one,	True
ro,	two,	zero,	False
sev,	seven,	seven,	True
tw,	two,	two,	True
sio,	six,	zero,	False
eig,	eight,	eight,	True
eiw,	two,	eight,	False
fiv,	five,	five,	True
nin,	nine,	nine,	True
five,	five,	five,	True
eigh,	eight,	eight,	True
nine,	nine,	nine,	True
tw,	two,	two,	True
ei,	five,	eight,	False
six,	six,	six,	True
siv,	five,	six,	False
eg,	two,	eight,	False
zeo,	zero,	zero,	True
se,	three,	seven,	False
six,	six,	six,	True
ihgn,	nine,	eight,	False
fourn,	four,	four,	True
fivn,	five,	five,	True
onr,	one,	one,	True
nin,	nine,	nine,	True
si,	six,	six,	True
zeo,	zero,	zero,	True
,	six,	one,	False
oin,	nine,	one,	False
o,	four,	zero,	False
one,	one,	one,	True
eight,	eight,	eight,	True
ofivo,	five,	five,	True
five,	five,	five,	True
sei,	six,	seven,	False
,	seven,	thre,	False
eigh,	eight,	eight,	True
woe,	two,	one,	False
tw,	two,	two,	True
o,	four,	one,	False
one,	one,	one,	True
sev,	seven,	seven,	True
tw,	two,	two,	True
sei,	six,	six,	True
thr,	three,	thre,	False
fiu,	five,	four,	False
one,	one,	one,	True
thr,	three,	thre,	False
sixs,	six,	six,	True
in,	five,	four,	False
eign,	nine,	eight,	False
eth,	three,	thre,	False
sixe,	six,	six,	True
five,	five,	five,	True
one,	one,	one,	True
eig,	eight,	eight,	True
seven,	seven,	seven,	True
ix,	six,	six,	True
wo,	two,	four,	False
evn,	seven,	seven,	True
zo,	two,	zero,	False
tw,	two,	two,	True
nif,	five,	nine,	False
our,	four,	four,	True
nin,	nine,	nine,	True
fiv,	five,	five,	True
fn,	three,	four,	False
o,	four,	one,	False
eig,	eight,	eight,	True
t,	two,	thre,	False
fi,	five,	five,	True
five,	five,	five,	True
nine,	nine,	nine,	True
,	five,	five,	True
two,	two,	two,	True
,	five,	four,	False
sev,	seven,	seven,	True
ie,	three,	six,	False
twr,	two,	thre,	False
tw,	two,	two,	True
ni,	nine,	nine,	True
twi,	two,	two,	True
fiven,	five,	five,	True
fu,	four,	four,	True
two,	two,	two,	True
e,	three,	nine,	False
si,	four,	six,	False
zer,	zero,	zero,	True
in,	five,	nine,	False
o,	four,	zero,	False
eigh,	eight,	eight,	True
eigh,	eight,	eight,	True
twon,	two,	two,	True
fur,	four,	four,	True
nine,	nine,	nine,	True
sixn,	six,	six,	True
,	one,	four,	False
fur,	four,	four,	True
fur,	four,	four,	True
tw,	two,	two,	True
ig,	nine,	eight,	False
nin,	nine,	nine,	True
tig,	three,	eight,	False
tw,	two,	thre,	False
six,	Six,	six,	False
zreo,	zero,	zero,	True
four,	four,	four,	True
tw,	two,	two,	True
fe,	five,	five,	True
ie,	nine,	five,	False
onine,	nine,	one,	False
tw,	two,	two,	True
ig,	nine,	eight,	False
rnin,	nine,	nine,	True
fiv,	five,	five,	True
on,	one,	one,	True
tw,	two,	thre,	False
eigh,	eight,	eight,	True
sine,	nine,	seven,	False
seix,	six,	six,	True
